course_id,canonical_course_id,title,platform,category,level,skills,course_text
1,1,"Data Engineering, Big Data, and Machine Learning on GCP",Coursera,Data Science,Intermediate,"Data Pipelines, Dataflow, Google Cloud Platform, Real Time Data, Data Lakes, MLOps (Machine Learning Operations), Dashboard, Data Warehousing, Extract, Transform, Load, Data Infrastructure, Cloud Storage, Big Data, Tensorflow, Unstructured Data, Data Integration, Data Processing, Data Visualization Software, Apache Hadoop, Apache Spark, Cloud Computing","Title: Data Engineering, Big Data, and Machine Learning on GCP | Platform: Coursera | Category: Data Science | Level: Intermediate | Instructor: Google Cloud | Learning Product: Specialization | Skills: Data Pipelines, Dataflow, Google Cloud Platform, Real Time Data, Data Lakes, MLOps (Machine Learning Operations), Dashboard, Data Warehousing, Extract, Transform, Load, Data Infrastructure, Cloud Storage, Big Data, Tensorflow, Unstructured Data, Data Integration, Data Processing, Data Visualization Software, Apache Hadoop, Apache Spark, Cloud Computing"
22,22,Prompt Engineering,Coursera,Data Science,Beginner,"ChatGPT, Ideation, Verification And Validation, Data Presentation, Document Management, Generative AI, Creative Thinking, Creativity, Artificial Intelligence, Risk Management Framework, OpenAI, Productivity Software, Microsoft Excel, Data Ethics, Data Analysis, Information Management, Natural Language Processing, Data Transformation, Technical Communication, Problem Solving","Title: Prompt Engineering | Platform: Coursera | Category: Data Science | Level: Beginner | Instructor: Vanderbilt University | Learning Product: Specialization | Skills: ChatGPT, Ideation, Verification And Validation, Data Presentation, Document Management, Generative AI, Creative Thinking, Creativity, Artificial Intelligence, Risk Management Framework, OpenAI, Productivity Software, Microsoft Excel, Data Ethics, Data Analysis, Information Management, Natural Language Processing, Data Transformation, Technical Communication, Problem Solving"
23,23,Convolutional Neural Networks,Coursera,Data Science,Intermediate,"Computer Vision, Image Analysis, Deep Learning, Artificial Neural Networks, Applied Machine Learning, Artificial Intelligence, Network Architecture, Machine Learning, Data Processing, Algorithms","Title: Convolutional Neural Networks | Platform: Coursera | Category: Data Science | Level: Intermediate | Instructor: DeepLearning.AI | Learning Product: Course | Skills: Computer Vision, Image Analysis, Deep Learning, Artificial Neural Networks, Applied Machine Learning, Artificial Intelligence, Network Architecture, Machine Learning, Data Processing, Algorithms"
24,24,用 Python 做商管程式設計（二）(Programming for Business Computing in Python (2)),Coursera,Computer Science,Intermediate,"Data Structures, Data Visualization Software, Financial Data, Financial Analysis, Data Analysis, Debugging, Programming Principles, Python Programming, Data Manipulation, Data Import/Export, File Management, Data Validation, Computer Programming","Title: 用 Python 做商管程式設計（二）(Programming for Business Computing in Python (2)) | Platform: Coursera | Category: Computer Science | Level: Intermediate | Instructor: National Taiwan University | Learning Product: Course | Skills: Data Structures, Data Visualization Software, Financial Data, Financial Analysis, Data Analysis, Debugging, Programming Principles, Python Programming, Data Manipulation, Data Import/Export, File Management, Data Validation, Computer Programming"
25,25,Advanced Leadership Skills for the 21st Century,Coursera,Business,Intermediate,"Leadership Development, Crisis Management, Strategic Leadership, Organizational Change, Leadership, Organizational Leadership, Leadership and Management, Team Leadership, Change Management, Diversity and Inclusion, Business Leadership, Visionary, Team Management, Team Building, Organizational Strategy, Coaching, Professional Development, Employee Performance Management, Mentorship, Overcoming Obstacles","Title: Advanced Leadership Skills for the 21st Century | Platform: Coursera | Category: Business | Level: Intermediate | Instructor: Kennesaw State University | Learning Product: Specialization | Skills: Leadership Development, Crisis Management, Strategic Leadership, Organizational Change, Leadership, Organizational Leadership, Leadership and Management, Team Leadership, Change Management, Diversity and Inclusion, Business Leadership, Visionary, Team Management, Team Building, Organizational Strategy, Coaching, Professional Development, Employee Performance Management, Mentorship, Overcoming Obstacles"
26,26,Basic Data Processing and Visualization,Coursera,Information Technology,Intermediate,"Data Processing, Data Manipulation, Interactive Data Visualization, Web Scraping, Data Visualization Software, Pandas (Python Package), Data Cleansing, Matplotlib, Data Import/Export, Exploratory Data Analysis, NumPy, Jupyter, JSON, Python Programming","Title: Basic Data Processing and Visualization | Platform: Coursera | Category: Information Technology | Level: Intermediate | Instructor: University of California San Diego | Learning Product: Course | Skills: Data Processing, Data Manipulation, Interactive Data Visualization, Web Scraping, Data Visualization Software, Pandas (Python Package), Data Cleansing, Matplotlib, Data Import/Export, Exploratory Data Analysis, NumPy, Jupyter, JSON, Python Programming"
27,27,C Programming: Modular Programming and Memory Management - 3,Coursera,Computer Science,Beginner,"C (Programming Language), System Programming, Hardware Architecture, Computer Architecture, Embedded Software, Operating Systems, Programming Principles, Computer Programming, Program Development, Debugging","Title: C Programming: Modular Programming and Memory Management - 3 | Platform: Coursera | Category: Computer Science | Level: Beginner | Instructor: Dartmouth College | Learning Product: Course | Skills: C (Programming Language), System Programming, Hardware Architecture, Computer Architecture, Embedded Software, Operating Systems, Programming Principles, Computer Programming, Program Development, Debugging"
28,28,Manage Resources in Azure,Coursera,Computer Science,Intermediate,"Microsoft Azure, Cloud Management, Application Deployment, Cloud Computing, Windows PowerShell, Infrastructure As A Service (IaaS), Cloud Infrastructure, Software As A Service, Virtual Machines, Platform As A Service (PaaS), Role-Based Access Control (RBAC), Command-Line Interface, Scripting","Title: Manage Resources in Azure | Platform: Coursera | Category: Computer Science | Level: Intermediate | Instructor: Microsoft | Learning Product: Course | Skills: Microsoft Azure, Cloud Management, Application Deployment, Cloud Computing, Windows PowerShell, Infrastructure As A Service (IaaS), Cloud Infrastructure, Software As A Service, Virtual Machines, Platform As A Service (PaaS), Role-Based Access Control (RBAC), Command-Line Interface, Scripting"
29,29,Software Architecture for Big Data,Coursera,Computer Science,Advanced,"Service Level, Software Engineering, Data Architecture, Web Applications, Software Architecture, Performance Testing, Scalability, Systems Architecture, Functional Requirement, Distributed Computing, Databases, Acceptance Testing, Application Deployment, Application Development, Predictive Modeling, Software Testing, System Design and Implementation, Requirements Elicitation, Transaction Processing, Database Architecture and Administration","Title: Software Architecture for Big Data | Platform: Coursera | Category: Computer Science | Level: Advanced | Instructor: University of Colorado Boulder | Learning Product: Specialization | Skills: Service Level, Software Engineering, Data Architecture, Web Applications, Software Architecture, Performance Testing, Scalability, Systems Architecture, Functional Requirement, Distributed Computing, Databases, Acceptance Testing, Application Deployment, Application Development, Predictive Modeling, Software Testing, System Design and Implementation, Requirements Elicitation, Transaction Processing, Database Architecture and Administration"
30,30,Product Management: Initial Product Strategy and Plan,Coursera,Computer Science,Beginner,"Product Lifecycle Management, Product Roadmaps, Product Management, Product Planning, New Product Development, Product Strategy, Product Development, Project Planning, Agile Product Development, Business Planning, Team Building, Competitive Analysis, Market Analysis, Marketing Strategies, Financial Analysis, Risk Analysis","Title: Product Management: Initial Product Strategy and Plan | Platform: Coursera | Category: Computer Science | Level: Beginner | Instructor: SkillUp EdTech | Learning Product: Course | Skills: Product Lifecycle Management, Product Roadmaps, Product Management, Product Planning, New Product Development, Product Strategy, Product Development, Project Planning, Agile Product Development, Business Planning, Team Building, Competitive Analysis, Market Analysis, Marketing Strategies, Financial Analysis, Risk Analysis"
31,31,Managing Linux Systems,Coursera,Computer Science,Beginner,"Package and Software Management, Linux Administration, Linux, System Monitoring, Linux Commands, File Systems, User Accounts, Command-Line Interface, Systems Administration, Data Storage, System Configuration, Operating Systems, Performance Tuning, Network Administration, Software Installation, Network Troubleshooting","Title: Managing Linux Systems | Platform: Coursera | Category: Computer Science | Level: Beginner | Instructor: LearnQuest | Learning Product: Course | Skills: Package and Software Management, Linux Administration, Linux, System Monitoring, Linux Commands, File Systems, User Accounts, Command-Line Interface, Systems Administration, Data Storage, System Configuration, Operating Systems, Performance Tuning, Network Administration, Software Installation, Network Troubleshooting"
32,32,Data Analysis with Tableau,Coursera,Data Science,Beginner,"Exploratory Data Analysis, Tableau Software, Statistical Visualization, Data Analysis, Descriptive Statistics, Predictive Analytics, Data Processing, Box Plots, Statistical Analysis, Data Cleansing, Scatter Plots, Data Visualization Software, Trend Analysis, Analytics, Histogram, Data Transformation, Business Analytics, Data Manipulation, Regression Analysis, Correlation Analysis","Title: Data Analysis with Tableau | Platform: Coursera | Category: Data Science | Level: Beginner | Instructor: Tableau Learning Partner | Learning Product: Course | Skills: Exploratory Data Analysis, Tableau Software, Statistical Visualization, Data Analysis, Descriptive Statistics, Predictive Analytics, Data Processing, Box Plots, Statistical Analysis, Data Cleansing, Scatter Plots, Data Visualization Software, Trend Analysis, Analytics, Histogram, Data Transformation, Business Analytics, Data Manipulation, Regression Analysis, Correlation Analysis"
33,33,Mathematics for Machine Learning: Linear Algebra,Coursera,Data Science,Beginner,"Linear Algebra, NumPy, Applied Mathematics, Data Transformation, Data Science, Machine Learning Methods, Algorithms, Data Manipulation, Python Programming","Title: Mathematics for Machine Learning: Linear Algebra | Platform: Coursera | Category: Data Science | Level: Beginner | Instructor: Imperial College London | Learning Product: Course | Skills: Linear Algebra, NumPy, Applied Mathematics, Data Transformation, Data Science, Machine Learning Methods, Algorithms, Data Manipulation, Python Programming"
34,34,Getting Started with Git and GitHub,Coursera,Computer Science,Beginner,"Git (Version Control System), GitHub, Version Control, Open Source Technology, Web Development Tools, Command-Line Interface, DevOps","Title: Getting Started with Git and GitHub | Platform: Coursera | Category: Computer Science | Level: Beginner | Instructor: IBM | Learning Product: Course | Skills: Git (Version Control System), GitHub, Version Control, Open Source Technology, Web Development Tools, Command-Line Interface, DevOps"
35,35,Introduction to Structured Query Language (SQL),Coursera,Computer Science,Intermediate,"Database Design, SQL, MySQL, Relational Databases, Database Management, Databases, Data Modeling, Data Integrity, Development Environment, Software Installation","Title: Introduction to Structured Query Language (SQL) | Platform: Coursera | Category: Computer Science | Level: Intermediate | Instructor: University of Michigan | Learning Product: Course | Skills: Database Design, SQL, MySQL, Relational Databases, Database Management, Databases, Data Modeling, Data Integrity, Development Environment, Software Installation"
