Subject,Title,Institution,Learning Product,Level,Duration,Gained Skills,Rate,Reviews,Data_Source
Information Technology,Guided Tour of Machine Learning in Finance,New York University,Course,Intermediate,1 - 4 Weeks,"Supervised Learning, Machine Learning Methods, Applied Machine Learning, Machine Learning Algorithms, Machine Learning, Statistical Methods, Artificial Neural Networks, Statistical Modeling, Predictive Modeling, Scikit Learn (Machine Learning Library), Regression Analysis, Financial Services, Finance, Financial Market, Unsupervised Learning, Tensorflow, Reinforcement Learning",4.7,150,Curated
Business,Gestión de las empresas de alimentación y bebidas,Università Bocconi,Course,Mixed,1 - 3 Months,"Creative Thinking, Creative Problem-Solving, Innovation, Ideation, Open Mindset, Curiosity, Market Opportunities, New Product Development, Business Strategies, Leadership",4.3,46,Curated
Business,Financial Accounting Fundamentals,University of Virginia,Course,Beginner,1 - 3 Months,"Financial Statements, Financial Accounting, Balance Sheet, Financial Reporting, Financial Statement Analysis, Annual Reports, Accrual Accounting, Income Statement, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Accounting Records, Cash Flows",4.7,428,Curated
Information Technology,Introduction to Recommender Systems:  Non-Personalized and Content-Based,University of Minnesota,Course,Intermediate,1 - 3 Months,"Taxonomy, Spreadsheet Software, Machine Learning, Predictive Analytics, Data Mining, Persona Development, Information Architecture, Statistics, Algorithms, Java",4.6,53,Curated
Data Science,Neural Networks and Deep Learning,DeepLearning.AI,Course,Intermediate,1 - 4 Weeks,"Deep Learning, Artificial Neural Networks, Tensorflow, Supervised Learning, Keras (Neural Network Library), Artificial Intelligence, Machine Learning, Python Programming, NumPy, Performance Tuning",4.9,123000,Curated
Data Science,Detect and Mitigate Ethical Risks,CertNexus,Course,Beginner,1 - 3 Months,"Data Ethics, Accountability, Risk Management, Operational Risk, Risk Analysis, Information Privacy, Risk Mitigation, Safety and Security, Business Ethics, Artificial Intelligence, Diversity and Inclusion, Stakeholder Engagement",4.7,76,Curated
Data Science,Reinforcement Learning for Trading Strategies,New York Institute of Finance,Course,Intermediate,1 - 4 Weeks,"Reinforcement Learning, Financial Trading, Deep Learning, Portfolio Management, Artificial Intelligence and Machine Learning (AI/ML), Artificial Neural Networks, Markov Model, Machine Learning, Financial Market, Time Series Analysis and Forecasting",4.7,342,Curated
Computer Science,Play It Safe: Manage Security Risks,Google,Course,Beginner,1 - 4 Weeks,"Open Web Application Security Project (OWASP), Security Controls, Risk Management, Cybersecurity, Security Information and Event Management (SIEM), Incident Response, NIST 800-53, Cyber Security Policies, Cyber Risk, Safety Audits, Threat Detection, Compliance Auditing",4.8,8900,Curated
Data Science,Introduction to Data Analytics for Business,University of Colorado Boulder,Course,Beginner,1 - 4 Weeks,"Data Governance, Analytics, Business Analytics, Data Storage, Data Management, Big Data, Databases, Business Intelligence, Data Analysis, Relational Databases, Data Quality, SQL, Organizational Structure, Cloud Computing, Data Manipulation",4.3,11,Curated
Business,Project Management Performance Domains,Microsoft,Course,Beginner,1 - 4 Weeks,"Global Marketing, Growth Strategies, Digital Marketing, Marketing, Content Marketing, Marketing Strategies, Brand Marketing, Marketing Communications, New Business Development, Social Media Marketing, Innovation, Business Strategies, Consumer Behaviour, Strategic Partnership, Storytelling",4.6,4200,Curated
Data Science,Build and deploy a stroke prediction model using R,Coursera Project Network,Guided Project,Intermediate,Less Than 2 Hours,"Feature Engineering, Predictive Modeling, Predictive Analytics, R Programming, Data Analysis, Statistical Analysis, Data Cleansing, Exploratory Data Analysis, Data Manipulation, Data Processing, Application Deployment, Data Import/Export, Machine Learning",4.4,108,Curated
Computer Science,"Everyday Excel, Part 2",University of Colorado Boulder,Course,Intermediate,1 - 3 Months,"Regression Analysis, Depreciation, Microsoft Excel, Statistical Modeling, Excel Formulas, Financial Analysis, Cash Flows, Predictive Modeling, Data Management, Spreadsheet Software, Financial Modeling, Data Analysis Expressions (DAX), Productivity Software, Business Mathematics, Finance, Advanced Analytics, Financial Forecasting, Process Optimization",4.6,817,Curated
Computer Science,Developing Android Apps with App Inventor,The Hong Kong University of Science and Technology,Course,Beginner,1 - 3 Months,"Android Development, User Interface (UI), User Interface and User Experience (UI/UX) Design, Mobile Development, Interactive Design, Application Development, Data Storage, Program Development, Global Positioning Systems, Programming Principles, Computer Programming, Event-Driven Programming, Computer Graphics",4.8,28,Curated
Data Science,Advanced Data Visualization with Tableau,Tableau Learning Partner,Course,Beginner,1 - 4 Weeks,"Data Visualization Software, Spatial Data Analysis, Tableau Software, Data Storytelling, Interactive Data Visualization, Stakeholder Communications, Geospatial Mapping, Business Reporting, Data Analysis, Business Intelligence",4.3,594,Curated
Business,Engineering Project Management: Initiating and Planning,Rice University,Course,Beginner,1 - 3 Months,"Communication Planning, Stakeholder Management, Organizational Structure, Project Documentation, Project Management, Project Management Life Cycle, Project Scoping, Project Planning, Requirements Management, Financial Analysis, Business Analysis, Peer Review",4.8,2600,Curated
Data Science,Automation & Advanced Techniques with Copilot in Excel,Microsoft,Course,Beginner,1 - 4 Weeks,"Excel Macros, Dashboard, Microsoft Excel, Predictive Modeling, Visual Basic (Programming Language), Automation, UI Components, Debugging, Productivity Software, Scenario Testing, User Interface (UI)",4.5,38,Curated
Business,Customer-Centric IT Strategy,University of Virginia,Course,Beginner,1 - 4 Weeks,"Talent Management, Talent Pipelining, Employee Onboarding, Employee Performance Management, Employee Coaching, Talent Recruitment, Performance Review, Talent Acquisition, Performance Management, Leadership Development, Performance Measurement, Employee Engagement, Constructive Feedback",4.7,337,Curated
Data Science,Python Data Products for Predictive Analytics,University of California San Diego,Specialization,Intermediate,3 - 6 Months,"Supervised Learning, Feature Engineering, Predictive Modeling, Data Processing, Data Manipulation, Predictive Analytics, Interactive Data Visualization, Design Thinking, Web Scraping, Machine Learning Algorithms, Flask (Web Framework), Data Visualization Software, Scikit Learn (Machine Learning Library), Application Deployment, Data Cleansing, Data Validation, Verification And Validation, Django (Web Framework), Statistical Modeling, Web Applications",4.6,14,Curated
Business,Introduction to Accounting Data Analytics and Visualization,University of Illinois Urbana-Champaign,Course,Beginner,1 - 3 Months,"Human Resource Strategy, Organizational Strategy, Organizational Structure, Organizational Effectiveness, Workforce Planning, Organizational Change, Risk Mitigation, Risk Management, Business Strategy, Key Performance Indicators (KPIs), Report Writing",4.7,20,Curated
Computer Science,"Data Warehouse Concepts, Design, and Data Integration",University of Colorado System,Course,Mixed,1 - 3 Months,"Data Warehousing, Database Design, Data Integration, Extract, Transform, Load, Data Modeling, Star Schema, Relational Databases, Snowflake Schema, Data Architecture, Business Intelligence, SQL, Pivot Tables And Charts, PostgreSQL, MySQL, Data Transformation, Data Quality, Oracle Cloud",4.6,22,Curated
Business,Business Models For Sustainability,Copenhagen Business School,Course,Beginner,1 - 3 Months,"Corporate Sustainability, Stakeholder Engagement, Business Modeling, Innovation, Environmental Social And Corporate Governance (ESG), Organizational Strategy, Stakeholder Communications, Business Strategies, Business Transformation, Sustainability Reporting, Business Ethics, Business Process, Environmental Issue, Strategic Communication, Natural Resource Management, Systems Thinking, Pollution Prevention, Strategic Partnership, Consumer Behaviour, Resource Utilization",4.7,10,Curated
Information Technology,Executive Data Science,Johns Hopkins University,Specialization,Beginner,1 - 3 Months,"Data Quality, Exploratory Data Analysis, Data Presentation, Employee Onboarding, Data Management, Team Motivation, Technical Communication, Data Analysis, Project Management, Interviewing Skills, Data Visualization, Data Cleansing, Data Science, Data-Driven Decision-Making, Management Reporting, Organizational Leadership, Data Storytelling, Team Management, Analytical Skills, Business Analytics",4.5,11000,Curated
Information Technology,Exploratory Data Analysis with MATLAB,MathWorks,Course,Beginner,1 - 3 Months,"Interactive Data Visualization, Data Import/Export, Technical Communication, Data Analysis, Exploratory Data Analysis, Data Visualization Software, Data Cleansing, Data-Driven Decision-Making, Matlab, Statistical Analysis, Probability & Statistics, Descriptive Statistics, Data Manipulation, Data Mapping, Scripting",4.5,60,Curated
Computer Science,¡A Programar! Una introducción a la programación,Universidad ORT Uruguay,Course,Beginner,1 - 3 Months,"Software Engineering, Software Design, Software Development, Software Documentation, Programming Principles, Computer Programming, Debugging, Computational Thinking, Algorithms, Event-Driven Programming",3.6,16,Curated
Computer Science,CUDA Advanced Libraries,Johns Hopkins University,Course,Intermediate,1 - 3 Months,"Artificial Neural Networks, Applied Machine Learning, Deep Learning, Natural Language Processing, Artificial Intelligence and Machine Learning (AI/ML), Linear Algebra, Mathematical Software, Numerical Analysis, Machine Learning, Data Processing, Data Structures, Performance Tuning, Data Transformation, Algorithms",4.8,3100,Curated
Computer Science,Computer Hardware and Software,"University of California, Irvine",Course,Beginner,1 - 4 Weeks,"Network Security, Computer Hardware, Computer Systems, Information Technology, Networking Hardware, General Networking, Network Protocols, Operating Systems, Software Systems, Microsoft Windows, Mac OS",4.6,413,Curated
